timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785152902614,6989,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-33,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,6989,0,0
1785152904992,4614,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-28,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,4614,0,47
1785152905651,4248,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-22,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,4248,0,45
1785152909842,72,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-48,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,72,0,43
1785152906183,3818,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-25,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,3818,0,47
1785152900010,10015,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-36,text,true,,844146,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,9939,0,0
1785152910414,71,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-48,text,true,,251725,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152910531,68,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-36,text,true,,1060,139,19,19,https://studyflow-frontend-hace.onrender.com/,67,0,42
1785152903403,7476,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,844147,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,7397,0,0
1785152906745,4157,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-30,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,4157,0,44
1785152911105,70,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-36,text,true,,251717,163,19,19,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,28,0,0
1785152907774,3533,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-42,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,3533,0,42
1785152907567,3740,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-26,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,3740,0,45
1785152908926,2479,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-31,text,true,,14189,433,19,19,https://studyflow-assignment2-backend.onrender.com/api/courses,2479,0,0
1785152904412,7002,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,844146,431,19,19,https://studyflow-assignment2-backend.onrender.com/api/tasks,6934,0,0
